#{"t_start": 1729549721.708162, "env_id": "None"}
r,l,t
0.312926,4,74.117312
-0.5,1,74.180644
-0.5,1,74.242737
0.648798,5,74.314121
0.07597,4,74.388446
-0.211055,3,74.456655
-0.5,1,74.520593
1.344492,8,74.594559
0.436261,5,74.664933
-0.01588,4,74.732525
-0.5,1,74.796807
0.473999,4,74.863143
-0.5,1,74.924112
-0.5,1,74.984719
-0.5,1,75.047744
1.624084,7,75.121815
0.027114,3,75.187668
0.223167,3,75.250756
-0.286411,2,75.316058
0.458421,4,75.385192
-0.301259,3,75.452144
0.697321,5,75.522595
-0.068492,4,75.588792
0.073507,3,75.656021
0.067128,3,75.72091
-0.053585,3,75.784035
1.215768,9,75.860318
-0.5,1,75.923521
-0.5,1,75.985335
0.733733,5,76.055632
-0.1658,2,76.121189
0.028127,3,76.186911
0.138985,3,76.257823
-0.102669,2,76.328717
0.912087,5,76.400563
0.129119,3,76.469421
0.04058,3,76.536997
0.147966,3,76.603602
